List of satisfied order: 128 in total
OrderId      PCid     Quantity     Due Date    Profit  TotalProfit    Day 0    Day 1    Day 2    Day 3    Day 4
   59          5         20           1          1646     32920         0      120        0        0        0
  123         13         18           1          1541     27738         0      108        0        0        0
    7          7         16           2          1701     27216         0        0      112        0        0
  193          7         20           0          1317     26340       140        0        0        0        0
   19          5         18           4          1435     25830         0        0        0        0      108
  178          3         20           3          1285     25700         0        0        0      120        0
  151          7         16           1          1557     24912         0      112        0        0        0
   63         14         17           1          1464     24888         0      102        0        0        0
   65          7         17           1          1453     24701         0      119        0        0        0
  142         14         19           0          1292     24548       114        0        0        0        0
    2         15         14           3          1740     24360         0        0        0       98        0
  144         13         18           4          1343     24174         0        0        0        0      108
  176          7         18           3          1331     23958         0        0        0      126        0
   48         13         19           2          1182     22458         0        0      114        0        0
  138          4         16           1          1378     22048         0       80        0        0        0
   27          5         18           3          1215     21870         0        0        0      108        0
  209         10         17           2          1248     21216         0        0       85        0        0
   17          0         18           3          1164     20952         0        0        0       72        0
    0          7         19           3          1092     20748         0        0        0      133        0
  124         11         19           2          1081     20539         0        0      114        0        0
  129         13         15           3          1329     19935         0        0        0       90        0
   56         15         14           2          1413     19782         0        0       98        0        0
   96          5         13           0          1510     19630        78        0        0        0        0
  169          0         19           3          1033     19627         0        0        0       76        0
   86         11         17           2          1148     19516         0        0      102        0        0
  205          2         17           1          1145     19465         0       85        0        0        0
   94          3         18           0          1076     19368       108        0        0        0        0
  167         13         12           3          1584     19008         0        0        0       72        0
   62          2         18           3          1043     18774         0        0        0       90        0
  105         10         15           3          1248     18720         0        0        0       75        0
  161          4         17           0          1091     18547        85        0        0        0        0
   79         10         15           0          1225     18375        75        0        0        0        0
  114          6         17           3          1042     17714         0        0        0      102        0
  204          7         16           1          1100     17600         0      112        0        0        0
  173          9         17           2          1008     17136         0        0       85        0        0
  203         15         12           2          1423     17076         0        0       84        0        0
    1          5         16           4          1064     17024         0        0        0        0       96
   28          6         13           2          1297     16861         0        0       78        0        0
   88         10         13           1          1294     16822         0       65        0        0        0
  108          8         15           4          1118     16770         0        0        0        0       60
  102          2         16           1          1046     16736         0       80        0        0        0
  113          3         17           3           964     16388         0        0        0      102        0
  153          2         14           2          1164     16296         0        0       70        0        0
  158         11         17           2           957     16269         0        0      102        0        0
  159          6         13           4          1244     16172         0        0        0        0       78
  150          5         12           3          1328     15936         0        0        0       72        0
  174          7         14           1          1114     15596         0       98        0        0        0
  208         14         19           1           793     15067         0      114        0        0        0
  111         11         13           0          1158     15054        78        0        0        0        0
  177          0         13           1          1154     15002         0       52        0        0        0
   78          3         17           1           878     14926         0      102        0        0        0
  121          7         14           2          1063     14882         0        0       98        0        0
    9          9         15           2           987     14805         0        0       75        0        0
  140          5         17           0           870     14790       102        0        0        0        0
  207         13          9           4          1627     14643         0        0        0        0       54
   83         12         17           4           846     14382         0        0        0        0       85
  119          6         18           2           795     14310         0        0      108        0        0
  128          3         11           0          1293     14223        66        0        0        0        0
  199          2         11           1          1291     14201         0       55        0        0        0
    4          7         11           2          1278     14058         0        0       77        0        0
  134         15         19           1           729     13851         0      133        0        0        0
  118          9         20           2           692     13840         0        0      100        0        0
   47          6         14           2           986     13804         0        0       84        0        0
   97          4         17           4           811     13787         0        0        0        0       85
  141         14         13           2          1057     13741         0        0       78        0        0
  190          3         16           3           849     13584         0        0        0       96        0
  107          6          9           2          1505     13545         0        0       54        0        0
  122          4         11           0          1231     13541        55        0        0        0        0
   58         13         20           1           675     13500         0      120        0        0        0
   44          4         14           0           953     13342        70        0        0        0        0
  171          4         10           0          1325     13250        50        0        0        0        0
   72          1         14           0           925     12950        70        0        0        0        0
   92         12          9           1          1434     12906         0       45        0        0        0
  157         14         18           4           708     12744         0        0        0        0      108
   67         13         16           0           777     12432        96        0        0        0        0
  182         13          9           3          1362     12258         0        0        0       54        0
   98          5         19           2           645     12255         0        0      114        0        0
  117         13         19           1           638     12122         0      114        0        0        0
   57          7          9           4          1341     12069         0        0        0        0       63
  192          7          8           4          1486     11888         0        0        0        0       56
  172          0         20           4           587     11740         0        0        0        0       80
   64          3         11           1          1053     11583         0       66        0        0        0
   87          1         10           2          1142     11420         0        0       50        0        0
   50         14          7           2          1614     11298         0        0       42        0        0
  197          9         18           0           627     11286        90        0        0        0        0
  213          1         20           4           564     11280         0        0        0        0      100
   84          3         20           3           563     11260         0        0        0      120        0
   23         15          8           0          1400     11200        56        0        0        0        0
   82          3         11           0          1017     11187        66        0        0        0        0
   15         14         10           0          1099     10990        60        0        0        0        0
  154          3          8           2          1345     10760         0        0       48        0        0
   85          0         11           4           942     10362         0        0        0        0       44
    5         13          7           4          1430     10010         0        0        0        0       42
   95          9         19           1           499      9481         0       95        0        0        0
   25          2         20           3           469      9380         0        0        0      100        0
  135          5         10           3           900      9000         0        0        0       60        0
  139          7         13           0           690      8970        91        0        0        0        0
   33          7          6           3          1492      8952         0        0        0       42        0
   45          9         12           3           733      8796         0        0        0       60        0
    8          6          6           0          1449      8694        36        0        0        0        0
  165         12         12           0           716      8592        60        0        0        0        0
  180          1          9           0           930      8370        45        0        0        0        0
  166          9          7           3          1174      8218         0        0        0       35        0
   54          9         11           4           740      8140         0        0        0        0       55
   93          1         17           0           468      7956        85        0        0        0        0
   46          1         13           3           608      7904         0        0        0       65        0
  133         12          6           0          1209      7254        30        0        0        0        0
  201         15          5           4          1449      7245         0        0        0        0       35
   66          1          6           4          1192      7152         0        0        0        0       30
  164          4          9           0           784      7056        45        0        0        0        0
  156          7          9           0           756      6804        63        0        0        0        0
   69          3          6           0          1126      6756        36        0        0        0        0
   42         10         10           4           667      6670         0        0        0        0       50
   81          0          8           0           758      6064        32        0        0        0        0
   21         14          6           4          1008      6048         0        0        0        0       36
   77         14          5           4          1124      5620         0        0        0        0       30
   52          9         10           4           533      5330         0        0        0        0       50
  152          5          7           4           653      4571         0        0        0        0       42
  132          1          8           4           519      4152         0        0        0        0       40
   53          0          4           4          1023      4092         0        0        0        0       16
  185         10          3           4          1131      3393         0        0        0        0       15
   12         14          3           4           814      2442         0        0        0        0       18
   55         10          3           4           776      2328         0        0        0        0       15
  181         13          2           4           810      1620         0        0        0        0       12
   71         12          1           4          1259      1259         0        0        0        0        5
   73          2          1           4          1132      1132         0        0        0        0        5
  147          7          1           4          1014      1014         0        0        0        0        7
   31          0          1           4           789       789         0        0        0        0        4

List of delayed order: 69 in total
OrderId      PCid     Quantity     Due Date    Profit  TotalProfit    Day 0    Day 1    Day 2    Day 3    Day 4
   10          0         16           2           666     10656         0        0        0        0       64
   49         10         12           2           882     10584         0        0        0        0       60
  206         13         17           2           616     10472         0        0        0        0      102
  120          1         14           2           725     10150         0        0        0        0       70
   40          5         12           1           787      9444         0        0        0        0       72
  175          5         12           2           785      9420         0        0        0        0       72
  100         11         17           1           537      9129         0        0        0        0      102
  116         11          7           1          1284      8988         0        0        0        0       42
